row_id,run_id,depl,model,rss(kb),vsz(kb)
1,1,ONNX,mnist,406.5903793103448,93.16103448275862
2,1,ONNX,cifar10,407.18661386138615,92.4350495049505
3,1,ONNX,emotion,401.63918840579714,90.13385507246377
4,1,ONNX,yolov4,485.26553535353537,168.63616161616162
5,1,SCLB,mnist,216.35020588235295,123.80858823529411
6,1,SCLB,cifar10,184.0545430463576,91.60458278145695
7,1,SCLB,emotion,185.0698129496403,92.33772661870503
8,1,SCLB,yolov4,400.010865248227,309.0975319148936
9,1,DOCKER,mnist,409.48775384615385,90.5544
10,1,DOCKER,cifar10,410.31085185185185,93.667
11,1,DOCKER,emotion,404.1591304347826,90.94220289855072
12,1,DOCKER,yolov4,479.64381981981984,165.86515315315316
13,2,ONNX,mnist,406.78793333333334,89.36346666666665
14,2,ONNX,cifar10,406.9777142857143,91.30012244897958
15,2,ONNX,emotion,406.4281176470588,89.46664705882353
16,2,ONNX,yolov4,484.81496907216496,169.06606185567009
17,2,SCLB,mnist,214.39583216783217,121.8093986013986
18,2,SCLB,cifar10,183.898693877551,91.59012244897959
19,2,SCLB,emotion,183.83490410958902,91.68706849315069
20,2,SCLB,yolov4,400.28486956521743,309.08292753623186
21,2,DOCKER,mnist,409.1823492063492,92.76266666666668
22,2,DOCKER,cifar10,413.0041568627451,92.45556862745097
23,2,DOCKER,emotion,402.72515068493146,90.43912328767124
24,2,DOCKER,yolov4,484.0154909090909,166.15174545454545
25,3,ONNX,mnist,406.66171428571425,92.12554621848739
26,3,ONNX,cifar10,403.291145631068,89.01347572815534
27,3,ONNX,emotion,401.9970704225352,86.21853521126761
28,3,ONNX,yolov4,477.34488,166.69624
29,3,SCLB,mnist,215.05625531914893,122.53100709219858
30,3,SCLB,cifar10,185.28011267605635,92.38630985915493
31,3,SCLB,emotion,183.77636879432623,91.64521985815603
32,3,SCLB,yolov4,404.12304347826085,312.70582608695656
33,3,DOCKER,mnist,412.08377952755905,92.64535433070867
34,3,DOCKER,cifar10,413.28411111111114,94.33288888888889
35,3,DOCKER,emotion,406.1529315068493,90.69742465753424
36,3,DOCKER,yolov4,485.03346788990825,166.9938348623853
37,4,ONNX,mnist,401.2759655172414,91.88265517241379
38,4,ONNX,cifar10,403.23509803921564,89.28470588235294
39,4,ONNX,emotion,404.6087096774193,90.98096774193549
40,4,ONNX,yolov4,485.0561237113402,169.11579381443298
41,4,SCLB,mnist,215.9447536231884,123.27226086956522
42,4,SCLB,cifar10,184.96391549295774,92.07521126760562
43,4,SCLB,emotion,185.09472222222223,92.318
44,4,SCLB,yolov4,403.5864,312.1898962962963
45,4,DOCKER,mnist,412.9008253968254,93.34619047619047
46,4,DOCKER,cifar10,413.20213333333334,93.63653333333335
47,4,DOCKER,emotion,408.70577142857144,91.27988571428571
48,4,DOCKER,yolov4,484.3281834862385,167.45985321100918
49,5,ONNX,mnist,406.5819310344828,89.05141379310345
50,5,ONNX,cifar10,401.7817570093458,88.58714018691589
51,5,ONNX,emotion,402.2303561643836,85.83753424657534
52,5,ONNX,yolov4,482.81328155339804,164.36753398058252
53,5,SCLB,mnist,216.16171830985917,122.93039436619719
54,5,SCLB,cifar10,184.95174025974026,92.01857142857143
55,5,SCLB,emotion,183.78458666666668,91.63853333333334
56,5,SCLB,yolov4,400.2874647887324,309.3378028169014
57,5,DOCKER,mnist,409.2416692913386,92.77061417322834
58,5,DOCKER,cifar10,413.98364000000004,94.59928
59,5,DOCKER,emotion,406.19108108108105,91.238
60,5,DOCKER,yolov4,485.96370093457944,167.83536448598133
61,6,ONNX,mnist,406.4685172413793,89.22531034482758
62,6,ONNX,cifar10,407.08567999999997,89.56316000000001
63,6,ONNX,emotion,401.10104615384614,85.83267692307693
64,6,ONNX,yolov4,476.2824672897196,161.33218691588783
65,6,SCLB,mnist,217.62261764705883,124.4564705882353
66,6,SCLB,cifar10,184.3398108108108,92.0917027027027
67,6,SCLB,emotion,183.7049929078014,91.58255319148937
68,6,SCLB,yolov4,403.6820992907801,312.38978723404256
69,6,DOCKER,mnist,408.27154198473283,92.66195419847328
70,6,DOCKER,cifar10,408.4194901960784,91.86654901960785
71,6,DOCKER,emotion,401.97878260869567,90.27739130434783
72,6,DOCKER,yolov4,486.9457247706422,169.4965137614679
73,7,ONNX,mnist,406.71076666666664,88.59096666666666
74,7,ONNX,cifar10,403.5331047619047,89.18868571428573
75,7,ONNX,emotion,402.02721126760565,86.83481690140846
76,7,ONNX,yolov4,485.3198383838384,166.0748282828283
77,7,SCLB,mnist,217.94542028985506,124.77423188405797
78,7,SCLB,cifar10,182.71077333333335,91.00501333333334
79,7,SCLB,emotion,183.83177622377622,91.69742657342658
80,7,SCLB,yolov4,408.6923165467626,315.2238561151079
81,7,DOCKER,mnist,412.10059842519684,92.76582677165355
82,7,DOCKER,cifar10,408.61353846153844,92.14284615384615
83,7,DOCKER,emotion,402.6843287671233,90.02087671232877
84,7,DOCKER,yolov4,480.5760740740741,165.70155555555556
85,8,ONNX,mnist,409.3445357142857,89.16682142857144
86,8,ONNX,cifar10,403.8742752293578,88.62473394495413
87,8,ONNX,emotion,401.7768,85.59108571428571
88,8,ONNX,yolov4,485.33523232323233,165.60848484848486
89,8,SCLB,mnist,214.37474125874127,121.7784895104895
90,8,SCLB,cifar10,184.93081690140846,92.05011267605633
91,8,SCLB,emotion,185.39434965034965,92.61205594405594
92,8,SCLB,yolov4,398.16011510791367,307.4768920863309
93,8,DOCKER,mnist,412.0893015873016,92.39044444444444
94,8,DOCKER,cifar10,409.8400754716981,92.67162264150943
95,8,DOCKER,emotion,402.7235068493151,89.69068493150685
96,8,DOCKER,yolov4,486.63779439252335,168.39667289719625
97,9,ONNX,mnist,406.6263666666666,88.35866666666666
98,9,ONNX,cifar10,407.6553076923077,89.51634615384616
99,9,ONNX,emotion,401.4674029850746,85.97594029850745
100,9,ONNX,yolov4,483.10102857142857,164.05062857142858
101,9,SCLB,mnist,216.15567164179103,122.91510447761193
102,9,SCLB,cifar10,185.14129032258063,92.2636129032258
103,9,SCLB,emotion,183.7842191780822,91.6372602739726
104,9,SCLB,yolov4,398.9578417266187,308.09608633093524
105,9,DOCKER,mnist,411.49726315789474,93.2692030075188
106,9,DOCKER,cifar10,414.0448316831683,94.61247524752476
107,9,DOCKER,emotion,402.0910285714286,88.78388571428572
108,9,DOCKER,yolov4,484.89115596330277,166.77801834862385
109,10,ONNX,mnist,406.342,88.24101754385966
110,10,ONNX,cifar10,409.76884615384614,89.777
111,10,ONNX,emotion,401.6324705882353,85.59788235294117
112,10,ONNX,yolov4,482.9031153846154,163.98415384615384
113,10,SCLB,mnist,216.74385294117647,123.42738235294118
114,10,SCLB,cifar10,183.77744966442953,91.48910067114095
115,10,SCLB,emotion,185.2165945945946,92.47816216216216
116,10,SCLB,yolov4,406.9576811594203,315.0391304347826
117,10,DOCKER,mnist,409.87348031496066,91.48853543307087
118,10,DOCKER,cifar10,413.22388679245284,92.84422641509434
119,10,DOCKER,emotion,405.9835616438356,91.388
120,10,DOCKER,yolov4,484.01258181818184,167.11774545454546
